"issue_key","author1_score","author2_score","agree"
"MC-300962","5","5","1"
"MC-299218","3","3","1"
"MC-301018","4","4","1"
"MC-300634","3","3","1"
"MC-299909","5","5","1"
"MC-300861","5","5","1"
"MC-300776","4","4","1"
"MC-300107","4","4","1"
"MC-300598","1","3","0"
"MC-300539","5","5","1"
"MC-301151","5","5","1"
"MC-300562","5","5","1"
"MC-300836","5","5","1"
"MC-300033","5","5","1"
"MC-300774","5","5","1"
"MC-300409","3","1","0"
"MC-300891","3","3","1"
"MC-300737","5","3","0"
"MC-301132","5","5","1"
"MC-300420","5","5","1"
"MC-301221","1","3","0"
"MC-300973","5","5","1"
"MC-301125","4","4","1"
"MC-301203","5","5","1"
"MC-300031","5","5","1"
"MC-301159","1","1","1"

N,26,,
Cohen Kappa,0.7524,,
Agreement,22/26,,
