"issue_key","author1_score","author2_score","agree"
"MC-300962","5","5","1"
"MC-299218","2","2","1"
"MC-301018","2","2","1"
"MC-300634","2","2","1"
"MC-299909","4","4","1"
"MC-300861","2","2","1"
"MC-300776","4","4","1"
"MC-300107","4","4","1"
"MC-300598","2","2","1"
"MC-300539","5","5","1"
"MC-301151","4","4","1"
"MC-300562","3","5","0"
"MC-300836","4","4","1"
"MC-300033","3","3","1"
"MC-300774","5","2","0"
"MC-300409","2","1","0"
"MC-300891","2","2","1"
"MC-300737","4","2","0"
"MC-301132","2","2","1"
"MC-300420","5","5","1"
"MC-301221","3","3","1"
"MC-300973","2","2","1"
"MC-301125","2","2","1"
"MC-301203","2","2","1"
"MC-300031","2","2","1"
"MC-301159","2","2","1"

N,26,,
Cohen Kappa,0.7647,,
Agreement,22/26,,
